"Name","Image","UPC-A","EAN-13","Amazon ASIN","Category","Brand","Model","Last Scanned","Store Name","Price","Currency"
"Discover with Dr. Cool Lunar Telescope for Kids - Explore The Moon and its Craters","https://images-na.ssl-images-amazon.com/images/I/51YNHIex6XL._SL150_.jpg","=""851456006678""","=""0851456006678""","=""B01H4CJGTC""","=""Toys & Games » Toy""","=""Discover with Dr. Cool""","=""LUNARSCOPE""","=""Jun 21, 2019 08:07""","Amazon US","36.99","USD"
"Orion 8945 SkyQuest XT8 Classic Dobsonian Telescope","https://images-na.ssl-images-amazon.com/images/I/41AhI173qiL._SL150_.jpg","=""759270089436""","=""0759270089450""","=""B001DDW9V6""","=""Electronics » Photography""","=""Orion""","=""8945""","=""Jun 21, 2019 13:59""","Amazon US","399.99","USD"
"Telescope Star Finder Refractor & Travel Scope Telescope for Beginners and Kids to Observe Moon and Planet with Tripod and Eyepiece Smartphone Adapter Telescope for Kids","https://images-na.ssl-images-amazon.com/images/I/41upSXc%2BZ0L._SL150_.jpg","=""726672054799""","=""0726672054799""","=""B07LF7K62G""","=""Electronics » Photography""","=""sogoog""","=""""","=""Jun 21, 2019 20:53""","Amazon US","check latest price",""
"MaxUSee 70mm Refractor Telescope + 8X21 Compact HD Binoculars for Kids and Astronomy Beginners, Travel Scope for Moon Stars Viewing Bird Watching Sightseeing","https://images-na.ssl-images-amazon.com/images/I/412nvXOj1XL._SL150_.jpg","=""667581332335""","=""0667581332335""","=""B07FXMQYQ3""","=""Electronics » Photography""","=""MaxUSee""","=""904240""","=""Jun 21, 2019 21:12""","Amazon US","59.99","USD"
"Discover with Dr. Cool Lunar Telescope for Kids Explore The Moon & Its Craters, (2018 Release)","https://images-na.ssl-images-amazon.com/images/I/518umGpvGDL._SL150_.jpg","=""816448025730""","=""0816448025730""","=""B07C4LMXG5""","=""Toys & Games » Toy""","=""Discover with Dr. Cool""","=""Lunar Telescope for Kids - Explore the M""","=""Jun 21, 2019 21:29""","Amazon US","check latest price",""
"Celestron 21045 114mm Equatorial PowerSeeker EQ Telescope","https://images-na.ssl-images-amazon.com/images/I/41668woBnVL._SL150_.jpg","=""050234210454""","=""4047825001139""","=""B0000Y8C2Y""","=""Electronics » Photography""","=""Celestron""","=""21045""","=""Jun 22, 2019 00:03""","Amazon US","103.50","USD"
"Gosky Universal Cell Phone Adapter Mount - Compatible with Binocular Monocular Spotting Scope Telescope Microscope-for Phone Sony Samsung Etc (Standard Type+ Wire Shutter)","https://images-na.ssl-images-amazon.com/images/I/51FQ0OhggML._SL150_.jpg","=""607994607002""","=""0607994607002""","=""B0744DLYP5""","=""Electronics » Photography""","=""Gosky""","=""GOPA001""","=""Jun 22, 2019 03:59""","Amazon US","21.99","USD"
"Kylietech 12X42 Binoculars with Phone Adapter Professional HD Compact Waterproof and Fogproof Telescope Sports-BAK4 Prism FMC Lens for Bird Watching Hiking Stargazing Hunting Concert with Carrying Bag","https://images-na.ssl-images-amazon.com/images/I/41%2B8OmJMIuL._SL150_.jpg","=""604270141908""","=""0604270141908""","=""B0798Q79RV""","=""Electronics » Photography""","=""Kylietech""","=""4336304351""","=""Jun 22, 2019 04:07""","Amazon US","36.99","USD"
"Orion 09007 SpaceProbe 130ST Equatorial Reflector Telescope (Black)","https://images-na.ssl-images-amazon.com/images/I/41jGmoeTjsL._SL150_.jpg","=""759270090074""","=""0759270090074""","=""B00D05BKOW""","=""Electronics » Photography""","=""Orion""","=""9007""","=""Jun 22, 2019 19:05""","Amazon US","299.99","USD"
"DoubleSun Spotting Scope Cellphone Mount-Design for Binocular Monocular Telescope and Spotting Scope","https://images-na.ssl-images-amazon.com/images/I/51BHHDF-rAL._SL150_.jpg","=""710280938244""","=""0710280938244""","=""B07B9RYLH3""","=""Electronics » Photography""","=""DoubleSun""","=""3216579475""","=""Jun 22, 2019 23:50""","Amazon US","15.99","USD"
"MAH 18 Inch Brass Ship Captain Telescope/Brass Spyglass with Hardwood Box. C-3261","https://images-na.ssl-images-amazon.com/images/I/41RvtYGPvsL._SL150_.jpg","=""728290961886""","=""0728290961886""","=""B07KZHJN2H""","=""Toys & Games » Toy""","=""MAH""","=""C-3261""","=""Jun 23, 2019 01:41""","Amazon US","54.90","USD"
"Royal Mini Nautical Brass Handmade Telegraph Vintage Maritime telescopes Collectible Item ... (Wooden)","https://images-na.ssl-images-amazon.com/images/I/41yeqB939hL._SL150_.jpg","=""791756476026""","=""0791756476026""","=""B01CY8YTP2""","=""Toys & Games » Toy""","=""Collectibles Buy""","=""ZMP3112""","=""Jun 24, 2019 09:32""","Amazon US","25.00","USD"
"Celestron NexStar 6 SE Telescope","https://images-na.ssl-images-amazon.com/images/I/41MkJMH72tL._SL150_.jpg","=""050234110686""","=""4883033182907""","=""B000GUKTDM""","=""Electronics » Photography""","=""Celestron""","=""11068""","=""Jun 24, 2019 10:50""","Amazon US","699.00","USD"
"6"" Handheld Brass Telescope with Wooden Box - Pirate Navigation","https://images-na.ssl-images-amazon.com/images/I/41HN1N4yGiL._SL150_.jpg","=""775070331230""","=""0787461751114""","=""B000YFSZU8""","=""Home & Kitchen » Toy""","=""NauticalMart""","=""BR 48256""","=""Jun 25, 2019 07:14""","Amazon US","6.94","USD"
"Gosky Big Type Universal Smartphone Adapter Mount for Spotting Scope Telescope Binocular Monocular, Black","https://images-na.ssl-images-amazon.com/images/I/51LrphJxJYL._SL150_.jpg","=""747380976678""","=""0747380976678""","=""B01D5W0WES""","=""Electronics » Photography""","=""Gosky""","=""Big Type""","=""Jun 25, 2019 07:18""","Amazon US","22.95","USD"
"Wedo 2366 Telescope Pointer - Black","https://images-na.ssl-images-amazon.com/images/I/11lZzHREICL._SL150_.jpg","=""793518670475""","=""0793518670475""","=""B000KTARHC""","=""Office Products » Office Product""","=""Wedo""","=""2366""","=""Jun 25, 2019 12:06""","Amazon US","5.93","USD"
"Emergency Survival Kits, Deyace [2018 UPGRADED] Ultimate Professional Tools Outdoor SOS Gear Kits for Traveling/Hiking/Biking/Climbing/Hunting - Include Monocular Telescope and more, 12 in 1","https://images-na.ssl-images-amazon.com/images/I/51TwY4ynDbL._SL150_.jpg","=""712038568826""","=""0712038568826""","=""B06W55X3KL""","=""Sports & Outdoors » Sports""","=""Deyace""","=""""","=""Jun 25, 2019 20:07""","Amazon US","54.95","USD"
"DoubleSun 0.965inch to 1.25inch Adapter-Using 1.25inch Accessories on 0.965inch Telescope","https://images-na.ssl-images-amazon.com/images/I/313eDroayaL._SL150_.jpg","=""710280938275""","=""0710280938275""","=""B07BC9LTQK""","=""Toys & Games » Photography""","=""DoubleSun""","=""""","=""Jun 26, 2019 12:29""","Amazon US","9.59","USD"
"Solomark Anti-Vibration Suppression Pads Telescope Mounts","https://images-na.ssl-images-amazon.com/images/I/417R3bEqw-L._SL150_.jpg","=""703501407964""","=""0703501407964""","=""B00OXKI5S2""","=""Electronics » Photography""","=""SOLOMARK""","=""SOLOMARK_QHAT001""","=""Jun 26, 2019 13:37""","Amazon US","23.99","USD"
"Solomark Smartphone Capturer for Iphone Android and Windows Smartphones. Compatible with Binoculars Monocular Spotting Scopes Telescopes and Microscopes- Get Your Mobile Phone Into Video Camera and Im...","https://images-na.ssl-images-amazon.com/images/I/41jEG3DN7QL._SL150_.jpg","=""703501412272""","=""0703501412272""","=""B00SN3RMW0""","=""Electronics » Photography""","=""SOLOMARK""","=""SOLOMARK_QHAP019""","=""Jun 28, 2019 02:10""","Amazon US","12.99","USD"
"Celestron StarSense Automatic Alignment Telescope Accessory, Black (94005) & 93973 Skyportal Wifi Module, Black","https://images-na.ssl-images-amazon.com/images/I/31%2BDNqYDa5L._SL150_.jpg","=""779177349457""","=""0779177349457""","=""B07TQM8P9M""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jun 28, 2019 05:52""","Amazon US","424.90","USD"
"Celestron AstroMaster LT 70AZ Refractor No-Tool Setup Refracting Telescope, Blue (21074)","https://images-na.ssl-images-amazon.com/images/I/411m5FaEsGL._SL150_.jpg","=""050234210744""","=""0050234210744""","=""B007DJZHBI""","=""Electronics » Photography""","=""Celestron""","=""21074""","=""Jul 02, 2019 13:43""","Amazon US","88.04","USD"
"Celestron Eyepiece and Filter Kit - 14 Piece Telescope Accessory Set","https://images-na.ssl-images-amazon.com/images/I/31HRQPMTw4L._SL150_.jpg","=""050234943031""","=""0050234943031""","=""B00006RH5I""","=""Electronics » Photography""","=""Celestron""","=""94303""","=""Jul 02, 2019 20:12""","Amazon US","115.55","USD"
"Gosky Deluxe Telescope Camera Adapter Kit for Canon EOS/Rebel DSLR - Prime Focus and Variable Projection Eyepiece Photography - Fits Standard 1.25"" Telescopes - Accepts 1.25"" Eyepieces","https://images-na.ssl-images-amazon.com/images/I/41BHfbqNvML._SL150_.jpg","=""703501415952""","=""0703501415952""","=""B00ZEJK282""","=""Electronics » Photography""","=""Gosky""","=""COMINU028996""","=""Jul 02, 2019 22:21""","Amazon US","45.99","USD"
"6""x6"" Solar Filter Sheet for Telescopes, Binoculars and Cameras","https://images-na.ssl-images-amazon.com/images/I/41vp2KLkxGL._SL150_.jpg","=""757183371914""","=""3230940000816""","=""B01770FDAC""","=""Electronics » Photography""","=""Thousand Oaks Optical""","=""BP-6X6""","=""Jul 04, 2019 05:20""","Amazon US","14.99","USD"
"Celestron ExploraScope 22102 80AZ Refractor Telescope","https://images-na.ssl-images-amazon.com/images/I/41Z6rNnVHEL._SL150_.jpg","=""050234221023""","=""0050234221023""","=""B00VTSIT2S""","=""Electronics » Photography""","=""Celestron""","=""22102""","=""Jul 05, 2019 05:35""","Amazon US","101.65","USD","FactoryOutletStore.com","147.95","USD"
"Celestron Counterweight for CGE Pro Series Computerized Telescopes - 22 Lbs","https://images-na.ssl-images-amazon.com/images/I/41XJ%2ByQmM3L._SL150_.jpg","=""050234941877""","=""0050234941877""","=""B002PZLW7S""","=""Electronics » Photography""","=""Celestron""","=""94187""","=""Jul 05, 2019 05:36""","Amazon US","check latest price",""
"Celestron PowerSeeker Accessory Kit Telescope","https://images-na.ssl-images-amazon.com/images/I/31EdCNiFlOL._SL150_.jpg","=""050234943062""","=""0050234943062""","=""B004OUMTT2""","=""Electronics » Photography""","=""Celestron""","=""94306""","=""Jul 05, 2019 05:36""","Amazon US","32.95","USD"
"Beautiful Universe Sky & Telescope's Special Issue 2009 International Year of Astronomy (IYA). Special Collection of Breathtaking Images Spectacular Keepsake Astrophotographer Work","https://images-na.ssl-images-amazon.com/images/I/61mP0M5MbIL._SL150_.jpg","=""071658022072""","=""0071658022072""","=""B00A93VBS8""","=""Books » BISS""","=""""","=""""","=""Jul 06, 2019 05:08""","Amazon US","check latest price",""
"MaxUSee 70mm Refractor Telescope with Tripod & Finder Scope, Portable Telescope for Kids & Astronomy Beginners, Travel Scope with 3 Magnification eyepieces & Moon Mirror Blue","https://images-na.ssl-images-amazon.com/images/I/41EW5fLbrYL._SL150_.jpg","=""611434208063""","=""0611434208063""","=""B078XBP349""","=""Toys & Games » Hobby""","=""MaxUSee""","=""F400X70""","=""Jul 06, 2019 17:50""","Amazon US","57.99","USD"
"HWZ Telescope Multi-Function Adjustable Universal Mobile Phone Clip Connection Mobile Phone Retractable Bracket","https://images-na.ssl-images-amazon.com/images/I/413MKa7lOgL._SL150_.jpg","=""751474030382""","=""0751474030382""","=""B07PXR11WN""","=""Cell Phones & Accessories » Photography""","=""HWZ""","=""""","=""Jul 08, 2019 07:27""","Amazon US","check latest price",""
"Nauticalmart Floor Standing Antique Copper Griffith Astro Telescope 45""-vintage Telescope","https://images-na.ssl-images-amazon.com/images/I/41DO7KSEtpL._SL150_.jpg","=""092074055666""","=""0092074055666""","=""B012W9KUMY""","=""Home""","=""NAUTICALMART""","=""""","=""Jul 08, 2019 08:49""","Amazon US","103.20","USD"
